AgeCat Cor Gen Rep NoControl
vhlevljeni1 0.622253773297 26 0 11
cak5 0.979611940318 27 0 11
k3 0.757456367979 27 0 11
k5 0.759991546802 27 0 11
pBM4 0.278504928787 27 0 11
pBM5 0.338658396601 27 0 11
pBM6 0.467775282641 27 0 11
pb6 0.979678570749 27 0 11
pb7 0.911681419852 27 0 11
pb8 0.945626274047 27 0 11
pb9 0.305680546534 27 0 11
potomciNP0 0.40916818243 27 0 11
telF1 0.473317530947 27 0 11
vhlevljeni1 0.427794119656 27 0 11
cak5 0.984017331915 28 0 11
k3 0.760132859866 28 0 11
k5 0.750674511763 28 0 11
pBM4 0.221230470435 28 0 11
pBM5 0.275009714232 28 0 11
pBM6 0.35370536911 28 0 11
pb6 0.974276348338 28 0 11
pb7 0.981819944838 28 0 11
pb8 0.91395328002 28 0 11
pb9 0.944391018716 28 0 11
potomciNP0 0.359166603375 28 0 11
telF1 0.530537900176 28 0 11
vhlevljeni1 0.395722113961 28 0 11
cak5 0.974633655137 29 0 11
k3 0.737084122172 29 0 11
k5 0.762579137835 29 0 11
pBM4 0.275082078748 29 0 11
pBM5 0.273267265544 29 0 11
pBM6 0.295369145999 29 0 11
pb6 0.876574474623 29 0 11
pb7 0.966331287753 29 0 11
pb8 0.968680699215 29 0 11
pb9 0.949643737059 29 0 11
potomciNP0 0.485802881596 29 0 11
telF1 0.499937250991 29 0 11
vhlevljeni1 0.150879665127 29 0 11
cak5 0.967871458237 30 0 11
k3 0.727639216442 30 0 11
k5 0.760641844005 30 0 11
pBM4 0.435646632864 30 0 11
pBM5 0.209915454829 30 0 11
pBM6 0.27076315758 30 0 11
pb6 0.979813624972 30 0 11
pb7 0.896002945929 30 0 11
pb8 0.970266917785 30 0 11
pb9 0.967175346418 30 0 11
potomciNP0 0.505832987333 30 0 11
telF1 0.508068583238 30 0 11
vhlevljeni1 0.545837135342 30 0 11
cak5 0.943409895275 31 0 11
k3 0.705278526632 31 0 11
k5 0.739605881906 31 0 11
pBM4 0.472804407045 31 0 11
pBM5 0.47607494141 31 0 11
pBM6 0.237560933932 31 0 11
pb6 0.99103519314 31 0 11
pb7 0.983387054468 31 0 11
pb8 0.898629787329 31 0 11
pb9 0.967218133686 31 0 11
potomciNP0 0.460625272006 31 0 11
telF1 0.534774751314 31 0 11
vhlevljeni1 0.682107209016 31 0 11
cak5 0.913948192208 32 0 11
k3 0.720838383306 32 0 11
k5 0.731551254113 32 0 11
pBM4 0.460630125198 32 0 11
pBM5 0.408651025769 32 0 11
pBM6 0.41760030913 32 0 11
pb6 0.906999964817 32 0 11
pb7 0.991069440449 32 0 11
pb8 0.986437023849 32 0 11
pb9 0.91754579515 32 0 11
potomciNP0 0.46694744238 32 0 11
telF1 0.506983011595 32 0 11
vhlevljeni1 0.239186199833 32 0 11
cak5 0.929028934507 33 0 11
k3 0.721501249199 33 0 11
k5 0.721000754877 33 0 11
pBM4 0.467584809311 33 0 11
pBM5 0.441355621837 33 0 11
pBM6 0.448185491726 33 0 11
pb6 0.929152904675 33 0 11
pb7 0.901905714552 33 0 11
pb8 0.986229572852 33 0 11
pb9 0.986626695327 33 0 11
potomciNP0 0.523544082634 33 0 11
telF1 0.496480420567 33 0 11
vhlevljeni1 0.648161885968 33 0 11
cak5 0.892678714664 34 0 11
k3 0.71385555689 34 0 11
k5 0.711453628474 34 0 11
pBM4 0.432290751446 34 0 11
pBM5 0.509163534339 34 0 11
pBM6 0.470691991412 34 0 11
pb6 0.926265155848 34 0 11
pb7 0.930421267154 34 0 11
pb8 0.926894125622 34 0 11
pb9 0.992062048954 34 0 11
potomciNP0 0.212820639079 34 0 11
telF1 0.444091867017 34 0 11
vhlevljeni1 0.526781135667 34 0 11
cak5 0.971407570391 35 0 11
k3 0.718833747898 35 0 11
k5 0.725441805645 35 0 11
pBM4 0.310346676233 35 0 11
pBM5 0.45446545604 35 0 11
pBM6 0.515653654404 35 0 11
pb6 0.968504569448 35 0 11
pb7 0.938439675004 35 0 11
pb8 0.941692109483 35 0 11
pb9 0.910045817757 35 0 11
potomciNP0 0.479754854881 35 0 11
telF1 0.452623316492 35 0 11
vhlevljeni1 0.493975342676 35 0 11
cak5 0.934816396781 36 0 11
k3 0.709419155551 36 0 11
k5 0.736912008096 36 0 11
pBM4 0.502905761761 36 0 11
pBM5 0.294119550128 36 0 11
pBM6 0.446348046953 36 0 11
pb6 0.994430961502 36 0 11
pb7 0.961610686509 36 0 11
pb8 0.933153263112 36 0 11
pb9 0.938001005648 36 0 11
potomciNP0 0.285811988808 36 0 11
telF1 0.486974655961 36 0 11
vhlevljeni1 0.511953723277 36 0 11
cak5 0.919518848576 37 0 11
k3 0.678921683744 37 0 11
k5 0.727069832212 37 0 11
pBM4 0.212467162389 37 0 11
pBM5 0.470758931373 37 0 11
pBM6 0.222077676523 37 0 11
pb6 0.964292156304 37 0 11
pb7 0.995238709798 37 0 11
pb8 0.955453684817 37 0 11
pb9 0.940030445683 37 0 11
potomciNP0 0.377826308609 37 0 11
telF1 0.452987222034 37 0 11
vhlevljeni1 -0.0126908412459 37 0 11
cak5 0.986853027813 38 0 11
k3 0.701978076916 38 0 11
k5 0.722651379888 38 0 11
pBM4 0.0415752798947 38 0 11
pBM5 0.172213274139 38 0 11
pBM6 0.46598070611 38 0 11
pb6 0.55533874556 38 0 11
pb7 0.970535498369 38 0 11
pb8 0.997329154323 38 0 11
pb9 0.958749503401 38 0 11
potomciNP0 0.453436258575 38 0 11
telF1 0.500571707496 38 0 11
vhlevljeni1 0.154814734647 38 0 11
cak5 0.94551219074 39 0 11
k3 0.689226295845 39 0 11
k5 0.699090653399 39 0 11
pBM4 0.486948696374 39 0 11
pBM5 0.0953149783603 39 0 11
pBM6 0.158450173317 39 0 11
pb6 0.948016405196 39 0 11
pb7 0.500286533616 39 0 11
pb8 0.984930764621 39 0 11
pb9 0.997554009798 39 0 11
potomciNP0 0.318456511227 39 0 11
telF1 0.453410784529 39 0 11
vhlevljeni1 0.180936367957 39 0 11
cak5 0.908434470559 40 0 11
k3 0.699398925732 40 0 11
k5 0.720626969122 40 0 11
pBM4 0.410744095397 40 0 11
pBM5 0.467820684599 40 0 11
pBM6 0.110145029391 40 0 11
pb6 0.961475472259 40 0 11
pb7 0.960202237836 40 0 11
pb8 0.608084062296 40 0 11
pb9 0.989860211415 40 0 11
potomciNP0 0.33909365574 40 0 11
telF1 0.458615361072 40 0 11
vhlevljeni1 0.387695063817 40 0 11
cak5 0.980802553276 41 0 11
k3 0.68777074579 41 0 11
k5 0.700685278342 41 0 11
pBM4 0.321700693599 41 0 11
pBM5 0.413518871913 41 0 11
pBM6 0.440687934563 41 0 11
pb6 0.944926096894 41 0 11
pb7 0.949805187523 41 0 11
pb8 0.950854649158 41 0 11
pb9 0.711351607785 41 0 11
potomciNP0 0.42875072316 41 0 11
telF1 0.436302141712 41 0 11
vhlevljeni1 0.320497792942 41 0 11
cak5 0.944367062901 42 0 11
k3 0.673287951817 42 0 11
k5 0.71871678662 42 0 11
pBM4 0.310894066119 42 0 11
pBM5 0.346308124648 42 0 11
pBM6 0.427103576118 42 0 11
pb6 0.979559192594 42 0 11
pb7 0.937148454554 42 0 11
pb8 0.952894400836 42 0 11
pb9 0.931067273738 42 0 11
potomciNP0 0.429454156894 42 0 11
telF1 0.413001819449 42 0 11
vhlevljeni1 0.399226358811 42 0 11
cak5 0.921424727764 43 0 11
k3 0.701646118671 43 0 11
k5 0.702125724042 43 0 11
pBM4 0.161972210878 43 0 11
pBM5 0.342031147588 43 0 11
pBM6 0.335422043938 43 0 11
pb6 0.847045585299 43 0 11
pb7 0.976008244779 43 0 11
pb8 0.924436065232 43 0 11
pb9 0.942583863077 43 0 11
potomciNP0 0.156708141612 43 0 11
telF1 0.436881766359 43 0 11
vhlevljeni1 0.541007004663 43 0 11
cak5 0.976554773181 44 0 11
k3 0.677182496629 44 0 11
k5 0.671034300931 44 0 11
pBM4 0.270059564288 44 0 11
pBM5 0.214413602449 44 0 11
pBM6 0.440112580451 44 0 11
pb6 0.572393302793 44 0 11
pb7 0.79664322499 44 0 11
pb8 0.968721306097 44 0 11
pb9 0.909846713837 44 0 11
potomciNP0 0.3249067969 44 0 11
telF1 0.418500054446 44 0 11
vhlevljeni1 0.284855074901 44 0 11
cak5 0.969671884002 45 0 11
k3 0.700961374861 45 0 11
k5 0.710078387223 45 0 11
pBM4 0.524019624779 45 0 11
pBM5 0.298296399275 45 0 11
pBM6 0.174849053252 45 0 11
pb6 0.983553634617 45 0 11
pb7 0.516321761666 45 0 11
pb8 0.851694718661 45 0 11
pb9 0.959680878068 45 0 11
potomciNP0 0.202867055645 45 0 11
telF1 0.432839437081 45 0 11
vhlevljeni1 0.0523756701657 45 0 11
cak5 0.969879144779 46 0 11
k3 0.669924237792 46 0 11
k5 0.700416032259 46 0 11
pBM4 0.494989163097 46 0 11
pBM5 0.494683858922 46 0 11
pBM6 0.360477316924 46 0 11
pb6 0.987177064551 46 0 11
pb7 0.98678929502 46 0 11
pb8 0.496204258038 46 0 11
pb9 0.908263796957 46 0 11
potomciNP0 0.270623344961 46 0 11
telF1 0.412696978049 46 0 11
vhlevljeni1 0.585071730665 46 0 11
cak5 0.96982280013 47 0 11
k3 0.678896070657 47 0 11
k5 0.715089258551 47 0 11
pBM4 0.337070972997 47 0 11
pBM5 0.544616886662 47 0 11
pBM6 0.48106633078 47 0 11
pb6 0.974661043921 47 0 11
pb7 0.986694475522 47 0 11
pb8 0.989819978469 47 0 11
pb9 0.461169015871 47 0 11
potomciNP0 0.325132023919 47 0 11
telF1 0.403661337947 47 0 11
vhlevljeni1 0.165988301761 47 0 11
cak5 0.909885442368 48 0 11
k3 0.655274268522 48 0 11
k5 0.68345056994 48 0 11
pBM4 0.199617645207 48 0 11
pBM5 0.398859904261 48 0 11
pBM6 0.478232571274 48 0 11
pb6 0.969742287707 48 0 11
pb7 0.988847178074 48 0 11
pb8 0.989173534722 48 0 11
pb9 0.98904317244 48 0 11
potomciNP0 0.294824248999 48 0 11
telF1 0.451543099846 48 0 11
vhlevljeni1 0.369610036586 48 0 11
cak5 0.990724463618 49 0 11
k3 0.701933709465 49 0 11
k5 0.698468334291 49 0 11
pBM4 0.317589849529 49 0 11
pBM5 0.103464029616 49 0 11
pBM6 0.36470017616 49 0 11
pb6 0.771540569897 49 0 11
pb7 0.97994990654 49 0 11
pb8 0.993519509408 49 0 11
pb9 0.988172584977 49 0 11
potomciNP0 0.364492569333 49 0 11
telF1 0.423666595032 49 0 11
vhlevljeni1 0.0269227336348 49 0 11
cak5 0.979751925304 50 0 11
k3 0.708393132241 50 0 11
k5 0.667445548673 50 0 11
pBM4 0.200564436633 50 0 11
pBM5 0.343564944741 50 0 11
pBM6 0.195422292946 50 0 11
pb6 0.985675850886 50 0 11
pb7 0.813234342799 50 0 11
pb8 0.967932230587 50 0 11
pb9 0.994575385205 50 0 11
potomciNP0 0.34486854117 50 0 11
telF1 0.441274667951 50 0 11
vhlevljeni1 0.339927569321 50 0 11
cak5 0.919270838169 51 0 11
k3 0.676491065105 51 0 11
k5 0.707766120504 51 0 11
pBM4 0.49199962176 51 0 11
pBM5 0.19797322742 51 0 11
pBM6 0.326886127866 51 0 11
pb6 0.974130698275 51 0 11
pb7 0.987083150879 51 0 11
pb8 0.788959199275 51 0 11
pb9 0.966878775044 51 0 11
potomciNP0 0.309626907411 51 0 11
telF1 0.434097678644 51 0 11
vhlevljeni1 0.223257812274 51 0 11
cak5 0.965367213881 52 0 11
k3 0.664819355098 52 0 11
k5 0.704976534627 52 0 11
pBM4 0.439685476156 52 0 11
pBM5 0.448199098716 52 0 11
pBM6 0.373853083191 52 0 11
pb6 0.864754296418 52 0 11
pb7 0.978153336632 52 0 11
pb8 0.986275615355 52 0 11
pb9 0.788935401 52 0 11
potomciNP0 0.400672281278 52 0 11
telF1 0.445996589698 52 0 11
vhlevljeni1 0.359971862358 52 0 11
cak5 0.963283582936 53 0 11
k3 0.676779251359 53 0 11
k5 0.690451605934 53 0 11
pBM4 0.109554990061 53 0 11
pBM5 0.411461880936 53 0 11
pBM6 0.480030836866 53 0 11
pb6 0.986213162316 53 0 11
pb7 0.852372831178 53 0 11
pb8 0.978175310202 53 0 11
pb9 0.985147786011 53 0 11
potomciNP0 0.441712634372 53 0 11
telF1 0.487253676817 53 0 11
vhlevljeni1 0.359860605184 53 0 11
cak5 0.982936878842 54 0 11
k3 0.697550774041 54 0 11
k5 0.674805599968 54 0 11
pBM4 0.340011757806 54 0 11
pBM5 0.00728456904159 54 0 11
pBM6 0.510025584851 54 0 11
pb6 0.90073910715 54 0 11
pb7 0.995614358492 54 0 11
pb8 0.766116740269 54 0 11
pb9 0.977491510445 54 0 11
potomciNP0 0.416993098335 54 0 11
telF1 0.478086762327 54 0 11
vhlevljeni1 0.453213948711 54 0 11
cak5 0.985774527781 55 0 11
k3 0.715388430905 55 0 11
k5 0.686488720207 55 0 11
pBM4 0.33125523338 55 0 11
pBM5 0.353161311184 55 0 11
pBM6 0.0810206779433 55 0 11
pb6 0.992173088267 55 0 11
pb7 0.900730692873 55 0 11
pb8 0.990512448907 55 0 11
pb9 0.781686836883 55 0 11
potomciNP0 0.398494921366 55 0 11
telF1 0.470628982902 55 0 11
vhlevljeni1 0.293421908507 55 0 11
cak5 0.88191046907 56 0 11
k3 0.692500480471 56 0 11
k5 0.706714227261 56 0 11
pBM4 0.312438999276 56 0 11
pBM5 0.342826245425 56 0 11
pBM6 0.424364983233 56 0 11
pb6 0.849775707142 56 0 11
pb7 0.989844177713 56 0 11
pb8 0.910861262903 56 0 11
pb9 0.993112844164 56 0 11
potomciNP0 0.484238032201 56 0 11
telF1 0.527732437094 56 0 11
vhlevljeni1 0.471946267381 56 0 11
cak5 0.976329494497 57 0 11
k3 0.688875593215 57 0 11
k5 0.732235070877 57 0 11
pBM4 0.347757205515 57 0 11
pBM5 0.314036836925 57 0 11
pBM6 0.359162335723 57 0 11
pb6 0.628286384685 57 0 11
pb7 0.849699668217 57 0 11
pb8 0.992019032012 57 0 11
pb9 0.931745699236 57 0 11
potomciNP0 0.412902930892 57 0 11
telF1 0.454166163878 57 0 11
vhlevljeni1 0.519076402483 57 0 11
cak5 0.984774789243 58 0 11
k3 0.70149703856 58 0 11
k5 0.710954879129 58 0 11
pBM4 0.485875400723 58 0 11
pBM5 0.320758804019 58 0 11
pBM6 0.367841300426 58 0 11
pb6 0.91112339893 58 0 11
pb7 0.629975969386 58 0 11
pb8 0.863056620865 58 0 11
pb9 0.988877288528 58 0 11
potomciNP0 0.375213022621 58 0 11
telF1 0.480693478834 58 0 11
vhlevljeni1 0.314306428875 58 0 11
cak5 0.986606462247 59 0 11
k3 0.682866471407 59 0 11
k5 0.714318056216 59 0 11
pBM4 0.289708099666 59 0 11
pBM5 0.507033049192 59 0 11
pBM6 0.329666999701 59 0 11
pb6 0.952639035471 59 0 11
pb7 0.890177533179 59 0 11
pb8 0.599142782382 59 0 11
pb9 0.880946838211 59 0 11
potomciNP0 0.295212521232 59 0 11
telF1 0.457511917913 59 0 11
vhlevljeni1 0.264173609208 59 0 11
cak5 0.824461875068 60 0 11
k3 0.684398896482 60 0 11
k5 0.710474601546 60 0 11
pBM4 0.362387234947 60 0 11
pBM5 0.326860420052 60 0 11
pBM6 0.467088930789 60 0 11
pb6 0.689743168797 60 0 11
pb7 0.949158440974 60 0 11
pb8 0.93217148669 60 0 11
pb9 0.547683082644 60 0 11
potomciNP0 0.419885455822 60 0 11
telF1 0.440946064113 60 0 11
vhlevljeni1 0.358790534201 60 0 11
cak5 0.941040463724 41 1 11
k3 0.723860878527 41 1 11
k5 0.749856837659 41 1 11
pBM4 0.45134667583 41 1 11
pBM5 0.282161550325 41 1 11
pBM6 0.392466081743 41 1 11
pb6 0.943436097833 41 1 11
pb7 0.791288986804 41 1 11
pb8 0.945536125903 41 1 11
pb9 0.999472822424 41 1 11
potomciNP0 0.384550719626 41 1 11
telF1 0.52547541325 41 1 11
vhlevljeni1 0.247509356618 41 1 11
cak5 0.962850654781 42 1 11
k3 0.727142972508 42 1 11
k5 0.743714137424 42 1 11
pBM4 0.582309653245 42 1 11
pBM5 0.487513223435 42 1 11
pBM6 0.305651797178 42 1 11
pb6 0.96232502814 42 1 11
pb7 0.936132083146 42 1 11
pb8 0.815827637081 42 1 11
pb9 0.954682716308 42 1 11
potomciNP0 0.437179430859 42 1 11
telF1 0.521872022704 42 1 11
vhlevljeni1 0.289362575813 42 1 11
cak5 0.977021404136 43 1 11
k3 0.719897916919 43 1 11
k5 0.735974244644 43 1 11
pBM4 0.490538861545 43 1 11
pBM5 0.56924732411 43 1 11
pBM6 0.478944051801 43 1 11
pb6 0.741544655711 43 1 11
pb7 0.956310063278 43 1 11
pb8 0.934062122058 43 1 11
pb9 0.798320555654 43 1 11
potomciNP0 0.312572459717 43 1 11
telF1 0.475516589987 43 1 11
vhlevljeni1 0.724479335546 43 1 11
cak5 0.967989258186 44 1 11
k3 0.716119941596 44 1 11
k5 0.741581979115 44 1 11
pBM4 0.338854313788 44 1 11
pBM5 0.437443674548 44 1 11
pBM6 0.665092836556 44 1 11
pb6 0.770703514275 44 1 11
pb7 0.721840967624 44 1 11
pb8 0.960909513876 44 1 11
pb9 0.93713678545 44 1 11
potomciNP0 0.448454061919 44 1 11
telF1 0.430246303576 44 1 11
vhlevljeni1 0.268698746759 44 1 11
cak5 0.966095799716 45 1 11
k3 0.705485951672 45 1 11
k5 0.722133658223 45 1 11
pBM4 0.253921612676 45 1 11
pBM5 0.381237635714 45 1 11
pBM6 0.475428302837 45 1 11
pb6 0.977940093204 45 1 11
pb7 0.784763652206 45 1 11
pb8 0.729307197809 45 1 11
pb9 0.9510783723 45 1 11
potomciNP0 0.345993710433 45 1 11
telF1 0.479671665303 45 1 11
vhlevljeni1 0.303817737978 45 1 11
cak5 0.97412386507 46 1 11
k3 0.706522134403 46 1 11
k5 0.722122105848 46 1 11
pBM4 0.287106333006 46 1 11
pBM5 0.28758822406 46 1 11
pBM6 0.455923729872 46 1 11
pb6 0.857956457426 46 1 11
pb7 0.977285475399 46 1 11
pb8 0.809404751965 46 1 11
pb9 0.750617067787 46 1 11
potomciNP0 0.0363881122611 46 1 11
telF1 0.395198835989 46 1 11
vhlevljeni1 0.223778080302 46 1 11
cak5 0.869987445589 47 1 11
k3 0.69914414102 47 1 11
k5 0.720267078306 47 1 11
pBM4 0.325886690037 47 1 11
pBM5 0.354144804531 47 1 11
pBM6 0.267132485791 47 1 11
pb6 0.989154474508 47 1 11
pb7 0.833424702262 47 1 11
pb8 0.982608945546 47 1 11
pb9 0.82797806638 47 1 11
potomciNP0 0.120199658021 47 1 11
telF1 0.424239475796 47 1 11
vhlevljeni1 0.114594048297 47 1 11
cak5 0.977547682272 48 1 11
k3 0.691402845977 48 1 11
k5 0.723023709856 48 1 11
pBM4 0.410957462749 48 1 11
pBM5 0.353191685682 48 1 11
pBM6 0.472393393346 48 1 11
pb6 0.919199788063 48 1 11
pb7 0.987456880958 48 1 11
pb8 0.895484115892 48 1 11
pb9 0.973246182068 48 1 11
potomciNP0 0.375092367315 48 1 11
telF1 0.428984038642 48 1 11
vhlevljeni1 0.399080450065 48 1 11
cak5 0.993385492439 49 1 11
k3 0.704875044525 49 1 11
k5 0.709329602395 49 1 11
pBM4 0.233285336579 49 1 11
pBM5 0.473763785747 49 1 11
pBM6 0.419051649049 49 1 11
pb6 0.988496688582 49 1 11
pb7 0.889329442485 49 1 11
pb8 0.991610052544 49 1 11
pb9 0.851354679606 49 1 11
potomciNP0 0.570927402485 49 1 11
telF1 0.435666218742 49 1 11
vhlevljeni1 0.246558996251 49 1 11
cak5 0.948811043927 50 1 11
k3 0.681977334726 50 1 11
k5 0.702089432882 50 1 11
pBM4 0.391736883784 50 1 11
pBM5 0.261675667569 50 1 11
pBM6 0.456451938355 50 1 11
pb6 0.982407693197 50 1 11
pb7 0.980320313844 50 1 11
pb8 0.935240127072 50 1 11
pb9 0.99127670634 50 1 11
potomciNP0 0.388418069055 50 1 11
telF1 0.448111913724 50 1 11
vhlevljeni1 0.673770907951 50 1 11
cak5 0.953693287986 51 1 11
k3 0.685373147884 51 1 11
k5 0.71449112476 51 1 11
pBM4 0.517000454773 51 1 11
pBM5 0.444579245444 51 1 11
pBM6 0.207146482617 51 1 11
pb6 0.980017980418 51 1 11
pb7 0.977835747414 51 1 11
pb8 0.978339952946 51 1 11
pb9 0.90854300479 51 1 11
potomciNP0 0.4614074737 51 1 11
telF1 0.424888519732 51 1 11
vhlevljeni1 0.406260364023 51 1 11
cak5 0.973705763531 52 1 11
k3 0.689937768951 52 1 11
k5 0.697434894906 52 1 11
pBM4 0.358408658256 52 1 11
pBM5 0.53809292925 52 1 11
pBM6 0.458651656823 52 1 11
pb6 0.996605919451 52 1 11
pb7 0.98166184557 52 1 11
pb8 0.970657649745 52 1 11
pb9 0.983053804873 52 1 11
potomciNP0 0.394519426837 52 1 11
telF1 0.514046789068 52 1 11
vhlevljeni1 0.396900390047 52 1 11
cak5 0.968217415564 53 1 11
k3 0.696477967529 53 1 11
k5 0.701784736806 53 1 11
pBM4 0.584995615123 53 1 11
pBM5 0.366895371135 53 1 11
pBM6 0.642810467 53 1 11
pb6 0.99387670658 53 1 11
pb7 0.994723075408 53 1 11
pb8 0.988741899531 53 1 11
pb9 0.975261225063 53 1 11
potomciNP0 0.525688844034 53 1 11
telF1 0.454301408211 53 1 11
vhlevljeni1 0.585661126744 53 1 11
cak5 0.946454384368 54 1 11
k3 0.71787526667 54 1 11
k5 0.701750317619 54 1 11
pBM4 0.307492398261 54 1 11
pBM5 0.584196833639 54 1 11
pBM6 0.363464435595 54 1 11
pb6 0.909352918655 54 1 11
pb7 0.995239627221 54 1 11
pb8 0.999082185134 54 1 11
pb9 0.987049270794 54 1 11
potomciNP0 0.504744851152 54 1 11
telF1 0.448671405739 54 1 11
vhlevljeni1 0.615225078902 54 1 11
cak5 0.954561955977 55 1 11
k3 0.708167960341 55 1 11
k5 0.708903893508 55 1 11
pBM4 0.562956375198 55 1 11
pBM5 0.42888448708 55 1 11
pBM6 0.597892804543 55 1 11
pb6 0.980356406203 55 1 11
pb7 0.923191930774 55 1 11
pb8 0.997781600704 55 1 11
pb9 0.989595097606 55 1 11
potomciNP0 0.545150233573 55 1 11
telF1 0.473465469307 55 1 11
vhlevljeni1 0.328428166461 55 1 11
cak5 0.99164564468 56 1 11
k3 0.714275453945 56 1 11
k5 0.736406630827 56 1 11
pBM4 0.37679494479 56 1 11
pBM5 0.601699380493 56 1 11
pBM6 0.481388415322 56 1 11
pb6 0.945979119178 56 1 11
pb7 0.982498665279 56 1 11
pb8 0.912310124763 56 1 11
pb9 0.998236916844 56 1 11
potomciNP0 0.429912887085 56 1 11
telF1 0.476019707639 56 1 11
vhlevljeni1 0.696223627622 56 1 11
cak5 0.990691371039 57 1 11
k3 0.721206366145 57 1 11
k5 0.718362289709 57 1 11
pBM4 0.446549477114 57 1 11
pBM5 0.38063446223 57 1 11
pBM6 0.542961301901 57 1 11
pb6 0.99862621495 57 1 11
pb7 0.945583214502 57 1 11
pb8 0.984717232516 57 1 11
pb9 0.922921470559 57 1 11
potomciNP0 0.456587960369 57 1 11
telF1 0.48942053721 57 1 11
vhlevljeni1 0.415014088151 57 1 11
cak5 0.971587824963 58 1 11
k3 0.709023993843 58 1 11
k5 0.7247619571 58 1 11
pBM4 0.337035333722 58 1 11
pBM5 0.472276000887 58 1 11
pBM6 0.408897474176 58 1 11
pb6 0.987737735034 58 1 11
pb7 0.998211631965 58 1 11
pb8 0.942497606104 58 1 11
pb9 0.978441126096 58 1 11
potomciNP0 0.488100984788 58 1 11
telF1 0.521927534763 58 1 11
vhlevljeni1 0.515820680472 58 1 11
cak5 0.974153210724 59 1 11
k3 0.705626805827 59 1 11
k5 0.739969585267 59 1 11
pBM4 0.328749706975 59 1 11
pBM5 0.369292474057 59 1 11
pBM6 0.500641942806 59 1 11
pb6 0.665784571786 59 1 11
pb7 0.98718887665 59 1 11
pb8 0.998632545162 59 1 11
pb9 0.944075760021 59 1 11
potomciNP0 0.547938035304 59 1 11
telF1 0.50111581603 59 1 11
vhlevljeni1 0.384942378083 59 1 11
cak5 0.9585917487 60 1 11
k3 0.713233720205 60 1 11
k5 0.72667940502 60 1 11
pBM4 0.488797943844 60 1 11
pBM5 0.306518619069 60 1 11
pBM6 0.380858479419 60 1 11
pb6 0.968476298145 60 1 11
pb7 0.61016600396 60 1 11
pb8 0.983503433592 60 1 11
pb9 0.999645765327 60 1 11
potomciNP0 0.600688082535 60 1 11
telF1 0.468262884184 60 1 11
vhlevljeni1 0.58465106576 60 1 11
cak5 0.900624300591 41 2 11
k3 0.678829352057 41 2 11
k5 0.689048199239 41 2 11
pBM4 0.475984572939 41 2 11
pBM5 0.130641402918 41 2 11
pBM6 0.430596707437 41 2 11
pb6 0.996295776705 41 2 11
pb7 0.96268629523 41 2 11
